BID,ID,UID,IDate,RDate
#00053,#10009,#00020,09-10-2024,11-10-2024
#00054,#10021,#00018,09-10-2024,16-10-2024
#00055,#10055,#00009,09-10-2024,17-10-2024
#00056,#10036,#00012,10-10-2024,13-10-2024
#00057,#10031,#00026,10-10-2024,11-10-2024
#00058,#10060,#00021,10-10-2024,-
#00059,#10037,#00003,10-10-2024,13-10-2024
#00060,#10058,#00024,10-10-2024,-
#00061,#10003,#00019,10-10-2024,-
#00062,#10047,#00001,10-10-2024,-
#00063,#10012,#00015,11-10-2024,15-10-2024
#00064,#10033,#00026,11-10-2024,17-10-2024
#00065,#10051,#00018,11-10-2024,17-10-2024
#00066,#10053,#00025,11-10-2024,15-10-2024
#00067,#10057,#00023,11-10-2024,-
#00068,#10004,#00009,11-10-2024,12-10-2024
#00069,#10050,#00019,11-10-2024,16-10-2024
#00070,#10033,#00015,12-10-2024,14-10-2024
#00071,#10004,#00015,12-10-2024,13-10-2024
#00072,#10046,#00006,12-10-2024,-
#00073,#10039,#00028,12-10-2024,12-10-2024
#00074,#10002,#00015,12-10-2024,-
#00075,#10042,#00012,12-10-2024,-
#00076,#10002,#00004,12-10-2024,12-10-2024
#00077,#10048,#00007,12-10-2024,-
#00078,#10051,#00008,12-10-2024,18-10-2024
#00079,#10023,#00009,13-10-2024,18-10-2024
#00080,#10005,#00008,13-10-2024,17-10-2024
#00081,#10059,#00023,13-10-2024,18-10-2024
#00082,#10014,#00025,13-10-2024,18-10-2024
#00083,#10016,#00029,13-10-2024,-
#00084,#10044,#00016,14-10-2024,17-10-2024
#00085,#10042,#00025,14-10-2024,18-10-2024
#00086,#10032,#00018,14-10-2024,-
#00087,#10040,#00009,14-10-2024,-
#00088,#10056,#00027,14-10-2024,14-10-2024
#00089,#10006,#00001,14-10-2024,-
#00090,#10031,#00019,15-10-2024,-
#00091,#10011,#00012,15-10-2024,-
#00092,#10047,#00004,15-10-2024,17-10-2024
#00093,#10016,#00016,15-10-2024,17-10-2024
#00094,#10041,#00030,15-10-2024,-
#00095,#10025,#00028,15-10-2024,-
#00096,#10060,#00020,15-10-2024,17-10-2024
#00097,#10020,#00003,15-10-2024,17-10-2024
#00098,#10008,#00024,16-10-2024,18-10-2024
#00099,#10030,#00013,16-10-2024,17-10-2024
#00100,#10036,#00002,16-10-2024,-
#00101,#10016,#00028,16-10-2024,17-10-2024
#00102,#10042,#00021,16-10-2024,18-10-2024
#00103,#10054,#00006,17-10-2024,-
#00104,#10013,#00023,17-10-2024,-
#00105,#10029,#00022,17-10-2024,-
#00106,#10030,#00013,17-10-2024,17-10-2024
#00107,#10039,#00026,17-10-2024,18-10-2024
#00108,#10001,#00025,17-10-2024,17-10-2024
#00109,#10005,#00029,17-10-2024,18-10-2024
#00110,#10029,#00024,17-10-2024,18-10-2024
#00111,#10030,#00026,18-10-2024,18-10-2024
#00112,#10059,#00015,18-10-2024,18-10-2024
#00113,#10031,#00022,18-10-2024,18-10-2024
#00114,#10032,#00001,18-10-2024,18-10-2024
#00115,#10029,#00021,18-10-2024,18-10-2024
#00116,#10001,#00017,18-10-2024,18-10-2024
#00117,#10045,#00014,18-10-2024,18-10-2024
#00118,#10033,#00026,18-10-2024,18-10-2024
#00119,#10059,#00002,18-10-2024,-
#00120,#10001,#00002,18-10-2024,-
